address,age,area,building,floor,floor_plan,name,rent
東京都中野区本町６,築32年,16.58m,4階建,2階,ワンルーム,東京メトロ丸ノ内線 新中野駅 4階建 築32年,5.4万円
東京都杉並区和田１,築44年,22m,2階建,2階,1DK,東京メトロ丸ノ内線 中野富士見町駅 2階建 築44年,6.9万円
東京都中野区弥生町２,築39年,14.04m,4階建,4階,ワンルーム,メゾン・ド・ペガーズ,5万円
東京都杉並区堀ノ内２,築29年,19.26m,5階建,2階,ワンルーム,東京メトロ丸ノ内線 方南町駅 5階建 築29年,6.2万円
東京都中野区南台３,築31年,23.1m,4階建,2階,1K,東京メトロ丸ノ内線 中野富士見町駅 4階建 築31年,6.5万円
東京都中野区本町３,築20年,19.08m,8階建,3階,1K,ルーブル中野新橋,6.4万円
東京都中野区本町６,築32年,16.58m,4階建,2階,ワンルーム,メインステージ新中野,5.4万円
東京都中野区弥生町５,築47年,21m,3階建,2階,1K,ドエル中山,6.5万円
東京都中野区本町６,築34年,17.3m,9階建,6階,ワンルーム,Ｖｏルサリーノ節和,5.7万円
東京都杉並区和田１,築30年,16.59m,5階建,2階,1K,東京メトロ丸ノ内線 中野富士見町駅 5階建 築30年,6.2万円
東京都杉並区和田２,築37年,15.12m,4階建,4階,ワンルーム,ジョイフル富士,6.08万円
東京都中野区本町６,築34年,16.77m,10階建,8階,ワンルーム,東京メトロ丸ノ内線 新中野駅 10階建 築34年,5.4万円
東京都中野区本町６,築32年,16.9m,5階建,4階,ワンルーム,スカイコート新中野,5.3万円
東京都中野区本町３,築26年,18.1m,7階建,3階,1K,ダイホープラザ中野新橋,6.25万円
東京都杉並区堀ノ内１,築34年,22.56m,10階建,3階,ワンルーム,東京メトロ丸ノ内線 方南町駅 10階建 築34年,6.3万円
東京都中野区中央１,築37年,13.29m,5階建,3階,ワンルーム,ラ・レジダンス・ド・VIP中野坂上,4.9万円
東京都中野区本町３,築27年,16.98m,5階建,3階,1K,ルミエール,5.6万円
東京都中野区本町３,築27年,16.98m,5階建,2階,1K,東京メトロ丸ノ内線 中野新橋駅 5階建 築27年,5.8万円
東京都中野区南台３,築31年,23.1m,3階建,2階,1K,エンゼル宮本,6.5万円
東京都中野区本町４,築27年,18.9m,13階建,8階,1K,Ｂｅｌｌｅ　Ｖｕｅ新中野,6.7万円
東京都杉並区和田３,築29年,23m,地下1地上7階建,5階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 地下1地上7階建 築29年,6.7万円
東京都杉並区和田３,築29年,16.24m,6階建,3階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 6階建 築29年,5.5万円
東京都中野区弥生町５,築33年,18.81m,4階建,4階,ワンルーム,安藤ビル,6万円
東京都杉並区和田１,築33年,18.9m,2階建,2階,ワンルーム,東京メトロ丸ノ内線 東高円寺駅 2階建 築33年,6.7万円
東京都杉並区和田１,築42年,18.71m,3階建,2階,1K,東京メトロ丸ノ内線 東高円寺駅 3階建 築42年,5.7万円
東京都杉並区和田１,築30年,23.01m,3階建,3階,ワンルーム,東京メトロ丸ノ内線 新中野駅 3階建 築30年,6.3万円
東京都杉並区和田１,築42年,19.22m,3階建,2階,1K,ヤシマハイツ,5.9万円
東京都杉並区和田１,築30年,16.32m,4階建,2階,ワンルーム,東高円寺アムフラット,5.1万円
東京都杉並区和田３,築31年,16m,5階建,5階,ワンルーム,モンテハイツ,5.2万円
東京都中野区弥生町２,築31年,17.48m,5階建,3階,1K,Urban View Shibata,7万円
東京都中野区弥生町２,築24年,18.28m,8階建,2階,1K,スカイコート中野,6.9万円
東京都中野区本町６,築7年,16.3m,3階建,2階,ワンルーム,フェリーチェ東高円寺II,6.3万円
東京都中野区本町６,築29年,20.06m,2階建,2階,1K,モアクレスト,6.7万円
